time,month,temperature
1969,apr,2.63
1969,may,8.65
1969,jun,8.88
1969,jul,13.77
1969,aug,11.52
1969,sep,10.56
1969,oct,7.32
1969,nov,0.67
1969,dec,-6.59
1970,jan,-2.86
1970,feb,-3.87
1970,mar,-3.11
1970,apr,0.67
1970,may,6.08
1970,jun,12.0
1970,jul,12.54
1970,aug,12.65
1970,sep,10.84
1970,oct,5.18
1970,nov,2.39
1970,dec,-3.64
1971,jan,-3.98
1971,feb,-3.29
1971,mar,-4.04
1971,apr,5.51
1971,may,8.9
1971,jun,9.21
1971,jul,14.32
1971,aug,14.01
1971,sep,9.04
1971,oct,6.84
1971,nov,-0.49
1971,dec,-0.59
1972,jan,-3.28
1972,feb,-0.51
1972,mar,1.86
1972,apr,2.5
1972,may,6.46
1972,jun,9.59
1972,jul,12.28
1972,aug,11.71
1972,sep,6.58
1972,oct,4.42
1972,nov,1.1
1972,dec,-1.85
1973,jan,-2.99
1973,feb,-4.39
1973,mar,-1.33
1973,apr,0.05
1973,may,8.48
1973,jun,11.53
1973,jul,12.2
1973,aug,14.36
1973,sep,10.75
1973,oct,4.51
1973,nov,0.7
1973,dec,-2.81
1974,jan,-0.29
1974,feb,-1.2
1974,mar,1.78
1974,apr,3.18
1974,may,6.55
1974,jun,9.32
1974,jul,12.23
1974,aug,13.63
1974,sep,8.97
1974,oct,-0.27
1974,nov,0.31
1974,dec,-0.36
1975,jan,-0.09
1975,feb,-1.61
1975,mar,-1.28
1975,apr,2.71
1975,may,7.41
1975,jun,9.41
1975,jul,13.11
1975,aug,12.99
1975,sep,11.56
1975,oct,4.57
1975,nov,0.44
1975,dec,-2.24
1976,jan,-2.7
1976,feb,-1.26
1976,mar,-0.76
1976,apr,3.05
1976,may,8.53
1976,jun,13.14
1976,jul,13.8
1976,aug,11.12
1976,sep,7.99
1976,oct,6.62
1976,nov,0.2
1976,dec,-4.26
1977,jan,-2.9
1977,feb,-0.3
1977,mar,2.72
1977,apr,1.83
1977,may,6.79
1977,jun,10.2
1977,jul,12.33
